Company,Contact Name,Contact Email,Contact Phone,Street Address,City,State,Country,Slips,Stage,Source,Segment,Tags,Notes,Next Step,Deal Amount,Probability %,Hardware $,Software $,Services $,Value Driver,Est. Pedestals,Est. Slips Impacted,Est. Close Date,Competitors,Industry
## GUIDE — Valid values: Stage → new | contacted | meeting_scheduled | qualified | proposal_sent | negotiation | lost | Segment → marina | yacht_club | dry_stack | port_harbor | municipality | Slips → number | Probability → 0-100 | Country → Canada | State → British Columbia ##,,,,,,,,,,,,,,,,,,,,,,,,
Oak Bay Marina,General Manager,,250-598-3369,1327 Beach Drive,Victoria,British Columbia,Canada,340,new,BC Shore Power List,marina,shore_power;victoria;oak_bay,Municipal-adjacent marina in Victoria's Oak Bay neighbourhood. 340 slips. Shore power throughout. Mix of liveaboard and seasonal. Affluent member profile.,Contact GM and confirm whether District of Oak Bay is involved in capital decisions.,,,,,,,Affluent user base — premium pricing receptive,85,340,,,Marine
Port Sidney Marina,Harbour Manager,,250-655-3711,9835 Seaport Place,Sidney,British Columbia,Canada,470,new,BC Shore Power List,marina,shore_power;sidney;saanich_peninsula,Modern marina in downtown Sidney. 470 slips. Shore power at all slips. High transient traffic from US and Gulf Islands boaters.,Focus on transient billing use case — metered by stay.,,,,,,,Transient traffic — per-visit billing model strong fit,118,470,,,Marine
Brentwood Bay Marina,Marina Manager,,250-652-3151,849 Verdier Avenue,Brentwood Bay,British Columbia,Canada,150,new,BC Shore Power List,marina,shore_power;saanich;brentwood_bay,Boutique marina on Saanich Inlet. 150 slips with shore power. Adjacent to ferry terminal. High tourist and seasonal traffic.,Reach out to manager and explore interest in a pilot installation.,,,,,,,Boutique marina — good reference customer,38,150,,,Marine
Cowichan Bay Fishermen's Wharf,Harbour Authority,,250-746-5911,1765 Cowichan Bay Road,Cowichan Bay,British Columbia,Canada,250,new,BC Shore Power List,port_harbor,shore_power;cowichan_bay;harbour_authority;commercial_fishing,Working harbour with recreational and commercial fishing mix. 250 slips. Shore power on recreational side. Operated by Cowichan Bay Harbour Authority.,Identify chair and identify capital investment appetite.,,,,,,,Harbour authority — public funding pathway,63,250,,,Marine
Harbour Authority of Pender Harbour,Harbour Master,,604-883-9175,4686 Sinclair Bay Road,Garden Bay,British Columbia,Canada,200,new,BC Shore Power List,port_harbor,shore_power;sunshine_coast;pender_harbour,Remote harbour authority on the Sunshine Coast. 200 slips. Shore power standard. Area serves as waypoint for northbound cruising boats.,Outreach in early spring ahead of cruising season.,,,,,,,Waypoint marina — seasonal volume case,50,200,,,Marine
Lund Harbour,Harbour Manager,,604-414-0474,9901 Larson Road,Lund,British Columbia,Canada,80,new,BC Shore Power List,port_harbor,shore_power;sunshine_coast;northern_bc;end_of_road,Northernmost highway-accessible harbour on BC mainland. 80 slips. Shore power. Waypoint for boats heading to Desolation Sound. High summer transient traffic.,Site visit when in the area — combine with Pender Harbour.,,,,,,,Iconic location — brand reference value,20,80,,,Marine
Halfmoon Bay Community Club Marina,Dock Manager,,604-885-0022,8100 Redrooffs Road,Halfmoon Bay,British Columbia,Canada,60,new,BC Shore Power List,marina,shore_power;sunshine_coast;community,Small community marina on Sunshine Coast. 60 slips with shore power. Community club structure — volunteer board makes decisions.,Identify current commodore and dock committee chair.,,,,,,,Community-owned — grant funding angle,15,60,,,Marine
Nanaimo Port Authority — Boat Basin,Harbour Manager,,250-754-5946,1 Port Drive,Nanaimo,British Columbia,Canada,750,new,BC Shore Power List,port_harbor,shore_power;nanaimo;mid_island;large_marina,Major port facility in Nanaimo. 750 recreational slips in the Boat Basin. Shore power standard. Governed by Nanaimo Port Authority — federal oversight.,Identify port authority procurement committee and capital schedule.,,,,,,,Largest mid-island harbour — high slip count,188,750,,,Marine
Newcastle Marina Nanaimo,Marina Manager,,250-753-4232,830 Esplanade,Nanaimo,British Columbia,Canada,300,new,BC Shore Power List,marina,shore_power;nanaimo;mid_island,Private marina adjacent to Nanaimo downtown waterfront. 300 slips. Shore power throughout. Well-maintained infrastructure.,Contact GM for site visit — bring metering ROI deck.,,,,,,,Private marina — faster procurement cycle,75,300,,,Marine
Comox Valley Harbour Authority,Harbour Master,,250-339-6041,132 Port Augusta Street,Comox,British Columbia,Canada,400,new,BC Shore Power List,port_harbor,shore_power;comox_valley;north_island,Public harbour authority in Comox serving recreational and commercial vessels. 400 slips. Shore power standard. DFO-affiliated.,Contact harbour authority manager and determine capital budget cycle.,,,,,,,North Island coverage — strategic for regional expansion,100,400,,,Marine
Campbell River Harbour Authority,Harbour Manager,,250-287-7931,1334 Island Highway,Campbell River,British Columbia,Canada,600,new,BC Shore Power List,port_harbor,shore_power;campbell_river;discovery_passage;gateway,Major gateway harbour to Discovery Passage and inside waterway. 600 slips. Shore power throughout. Very high summer transient boater volume.,Prioritise for Discovery Passage corridor strategy. Site visit spring.,,,,,,,Discovery Passage gateway — marquee reference site,150,600,,,Marine
Port McNeill Harbour Authority,Harbour Master,,250-956-3881,1595 Broughton Boulevard,Port McNeill,British Columbia,Canada,200,new,BC Shore Power List,port_harbor,shore_power;north_island;port_mcneill,Harbour authority serving North Vancouver Island. 200 slips with shore power. High transient traffic from boaters heading to the Broughton Archipelago.,Reach out and frame as gateway marina — northern BC strategy.,,,,,,,Northern gateway — strategic positioning,50,200,,,Marine
Prince Rupert Rowing and Yacht Club,Commodore,,250-624-4315,Port Edward,Prince Rupert,British Columbia,Canada,120,new,BC Shore Power List,yacht_club,shore_power;prince_rupert;northern_bc,Yacht club marina in Prince Rupert. 120 slips with shore power. Northernmost major sailing hub on BC coast. Strong local membership.,Connect via sailing association network. Long lead expected.,,,,,,,Northern BC anchor — brand presence value,30,120,,,Marine
Ucluelet Small Craft Harbour,Harbour Manager,,250-726-4241,1636 Peninsula Road,Ucluelet,British Columbia,Canada,250,new,BC Shore Power List,port_harbor,shore_power;west_coast_vi;ucluelet;wild_pacific,DFO-managed small craft harbour on west coast of Vancouver Island. 250 slips. Shore power. Serves recreational and commercial fishing fleet. Gateway to Barkley Sound.,Outreach via DFO small craft harbours program contact.,,,,,,,West Coast VI foothold — expansion anchor,63,250,,,Marine
Bamfield Inlet Marina,Marina Manager,,,4 Bamfield Road,Bamfield,British Columbia,Canada,50,new,BC Shore Power List,marina,shore_power;west_coast_vi;bamfield;remote,Remote marina on west coast of Vancouver Island. 50 slips with shore power. Serves dive charters and fishing guides. Road access via logging road.,Long-lead — combine outreach with Ucluelet trip.,,,,,,,Remote specialist — niche reference value,13,50,,,Marine
